// init
S 19008c,1 miss index:<4> 
S 150810,4 hit 
L 110320,4 miss index:<25> 
L 110324,4 hit 
L 110328,4 hit 
L 11032c,4 hit 
L 110330,4 hit 
L 110334,4 hit 
L 110338,4 hit 
L 11033c,4 hit 
S 150494,4 hit 
S 150514,4 hit 
S 150594,4 hit 
S 150614,4 hit 
S 150694,4 hit 
S 150714,4 hit 
S 150794,4 hit 
S 150814,4 hit 
L 1103a0,4 miss index:<29> 
L 1103a4,4 hit 
L 1103a8,4 hit 
L 1103ac,4 hit 
L 1103b0,4 hit 
L 1103b4,4 hit 
L 1103b8,4 hit 
L 1103bc,4 hit 
S 150498,4 hit 
S 150518,4 hit 
S 150598,4 hit 
S 150618,4 hit 
S 150698,4 hit 
S 150718,4 hit 
S 150798,4 hit 
S 150818,4 hit 
L 110420,4 miss index:<1> 
L 110424,4 hit 
L 110428,4 hit 
L 11042c,4 hit 
L 110430,4 hit 
L 110434,4 hit 
L 110438,4 hit 
L 11043c,4 hit 
S 15049c,4 hit 
S 15051c,4 hit 
S 15059c,4 hit 
S 15061c,4 hit 
S 15069c,4 hit 
S 15071c,4 hit 
S 15079c,4 hit 
S 15081c,4 hit 
L 1100c0,4 miss index:<6> 
L 1100c4,4 hit 
L 1100c8,4 hit 
L 1100cc,4 hit 
L 1100d0,4 hit 
L 1100d4,4 hit 
L 1100d8,4 hit 
L 1100dc,4 hit 
S 150880,4 miss index:<4> eviction 
S 150900,4 miss index:<8> eviction 
S 150980,4 miss index:<12> eviction 
S 150a00,4 miss index:<16> eviction 
S 150a80,4 miss index:<20> eviction 
S 150b00,4 miss index:<24> eviction 
S 150b80,4 miss index:<28> eviction 
S 150c00,4 miss index:<0> eviction 
L 110140,4 miss index:<10> 
L 110144,4 hit 
L 110148,4 hit 
L 11014c,4 hit 
L 110150,4 hit 
L 110154,4 hit 
L 110158,4 hit 
L 11015c,4 hit 
S 150884,4 hit 
S 150904,4 hit 
S 150984,4 hit 
S 150a04,4 hit 
S 150a84,4 hit 
S 150b04,4 hit 
S 150b84,4 hit 
S 150c04,4 hit 
L 1101c0,4 miss index:<14> 
L 1101c4,4 hit 
L 1101c8,4 hit 
L 1101cc,4 hit 
L 1101d0,4 hit 
L 1101d4,4 hit 
L 1101d8,4 hit 
L 1101dc,4 hit 
S 150888,4 hit 
S 150908,4 hit 
S 150988,4 hit 
S 150a08,4 hit 
S 150a88,4 hit 
S 150b08,4 hit 
S 150b88,4 hit 
S 150c08,4 hit 
L 110240,4 miss index:<18> 
L 110244,4 hit 
L 110248,4 hit 
L 11024c,4 hit 
L 110250,4 hit 
L 110254,4 hit 
L 110258,4 hit 
L 11025c,4 hit 
S 15088c,4 hit 
S 15090c,4 hit 
S 15098c,4 hit 
S 150a0c,4 hit 
S 150a8c,4 hit 
S 150b0c,4 hit 
S 150b8c,4 hit 
S 150c0c,4 hit 
L 1102c0,4 miss index:<22> 
L 1102c4,4 hit 
L 1102c8,4 hit 
L 1102cc,4 hit 
L 1102d0,4 hit 
L 1102d4,4 hit 
L 1102d8,4 hit 
L 1102dc,4 hit 
S 150890,4 hit 
S 150910,4 hit 
S 150990,4 hit 
S 150a10,4 hit 
S 150a90,4 hit 
S 150b10,4 hit 
S 150b90,4 hit 
S 150c10,4 hit 
L 110340,4 miss index:<26> 
L 110344,4 hit 
L 110348,4 hit 
L 11034c,4 hit 
L 110350,4 hit 
L 110354,4 hit 
L 110358,4 hit 
L 11035c,4 hit 
S 150894,4 hit 
S 150914,4 hit 
S 150994,4 hit 
S 150a14,4 hit 
S 150a94,4 hit 
S 150b14,4 hit 
S 150b94,4 hit 
S 150c14,4 hit 
L 1103c0,4 miss index:<30> 
L 1103c4,4 hit 
L 1103c8,4 hit 
L 1103cc,4 hit 
L 1103d0,4 hit 
L 1103d4,4 hit 
L 1103d8,4 hit 
L 1103dc,4 hit 
S 150898,4 hit 
S 150918,4 hit 
S 150998,4 hit 
S 150a18,4 hit 
S 150a98,4 hit 
S 150b18,4 hit 
S 150b98,4 hit 
S 150c18,4 hit 
L 110440,4 miss index:<2> 
L 110444,4 hit 
L 110448,4 hit 
L 11044c,4 hit 
L 110450,4 hit 
L 110454,4 hit 
L 110458,4 hit 
L 11045c,4 hit 
S 15089c,4 hit 
S 15091c,4 hit 
S 15099c,4 hit 
S 150a1c,4 hit 
S 150a9c,4 hit 
S 150b1c,4 hit 
S 150b9c,4 hit 
S 150c1c,4 hit 
L 1100e0,4 miss index:<7> 
L 1100e4,4 hit 
L 1100e8,4 hit 
L 1100ec,4 hit 
L 1100f0,4 hit 
L 1100f4,4 hit 
L 1100f8,4 hit 
L 1100fc,4 hit 
S 150c80,4 miss index:<4> eviction 
S 150d00,4 miss index:<8> eviction 
S 150d80,4 miss index:<12> eviction 
S 150e00,4 miss index:<16> eviction 
S 150e80,4 miss index:<20> eviction 
S 150f00,4 miss index:<24> eviction 
S 150f80,4 miss index:<28> eviction 
S 151000,4 miss index:<0> eviction 
L 110160,4 miss index:<11> 
L 110164,4 hit 
L 110168,4 hit 
L 11016c,4 hit 
L 110170,4 hit 
L 110174,4 hit 
L 110178,4 hit 
L 11017c,4 hit 
S 150c84,4 hit 
S 150d04,4 hit 
S 150d84,4 hit 
S 150e04,4 hit 
S 150e84,4 hit 
S 150f04,4 hit 
S 150f84,4 hit 
S 151004,4 hit 
L 1101e0,4 miss index:<15> 
L 1101e4,4 hit 
L 1101e8,4 hit 
L 1101ec,4 hit 
L 1101f0,4 hit 
L 1101f4,4 hit 
L 1101f8,4 hit 
L 1101fc,4 hit 
S 150c88,4 hit 
S 150d08,4 hit 
S 150d88,4 hit 
S 150e08,4 hit 
S 150e88,4 hit 
S 150f08,4 hit 
S 150f88,4 hit 
S 151008,4 hit 
L 110260,4 miss index:<19> 
L 110264,4 hit 
L 110268,4 hit 
L 11026c,4 hit 
L 110270,4 hit 
L 110274,4 hit 
L 110278,4 hit 
L 11027c,4 hit 
S 150c8c,4 hit 
S 150d0c,4 hit 
S 150d8c,4 hit 
S 150e0c,4 hit 
S 150e8c,4 hit 
S 150f0c,4 hit 
S 150f8c,4 hit 
S 15100c,4 hit 
L 1102e0,4 miss index:<23> 
L 1102e4,4 hit 
L 1102e8,4 hit 
L 1102ec,4 hit 
L 1102f0,4 hit 
L 1102f4,4 hit 
L 1102f8,4 hit 
L 1102fc,4 hit 
S 150c90,4 hit 
S 150d10,4 hit 
S 150d90,4 hit 
S 150e10,4 hit 
S 150e90,4 hit 
S 150f10,4 hit 
S 150f90,4 hit 
S 151010,4 hit 
L 110360,4 miss index:<27> 
L 110364,4 hit 
L 110368,4 hit 
L 11036c,4 hit 
L 110370,4 hit 
L 110374,4 hit 
L 110378,4 hit 
L 11037c,4 hit 
S 150c94,4 hit 
S 150d14,4 hit 
S 150d94,4 hit 
S 150e14,4 hit 
S 150e94,4 hit 
S 150f14,4 hit 
S 150f94,4 hit 
S 151014,4 hit 
L 1103e0,4 miss index:<31> 
L 1103e4,4 hit 
L 1103e8,4 hit 
L 1103ec,4 hit 
L 1103f0,4 hit 
L 1103f4,4 hit 
L 1103f8,4 hit 
L 1103fc,4 hit 
S 150c98,4 hit 
S 150d18,4 hit 
S 150d98,4 hit 
S 150e18,4 hit 
S 150e98,4 hit 
S 150f18,4 hit 
S 150f98,4 hit 
S 151018,4 hit 
L 110460,4 miss index:<3> 
L 110464,4 hit 
L 110468,4 hit 
L 11046c,4 hit 
L 110470,4 hit 
L 110474,4 hit 
L 110478,4 hit 
L 11047c,4 hit 
S 150c9c,4 hit 
S 150d1c,4 hit 
S 150d9c,4 hit 
S 150e1c,4 hit 
S 150e9c,4 hit 
S 150f1c,4 hit 
S 150f9c,4 hit 
S 15101c,4 hit 
L 110480,4 miss index:<4> eviction 
L 110484,4 hit 
L 110488,4 hit 
L 11048c,4 hit 
L 110490,4 hit 
L 110494,4 hit 
L 110498,4 hit 
L 11049c,4 hit 
S 1500a0,4 miss index:<5> eviction 
S 150120,4 miss index:<9> eviction 
S 1501a0,4 miss index:<13> eviction 
S 150220,4 miss index:<17> eviction 
S 1502a0,4 miss index:<21> eviction 
S 150320,4 miss index:<25> eviction 
S 1503a0,4 miss index:<29> eviction 
S 150420,4 miss index:<1> eviction 
L 110500,4 miss index:<8> eviction 
L 110504,4 hit 
L 110508,4 hit 
L 11050c,4 hit 
L 110510,4 hit 
L 110514,4 hit 
L 110518,4 hit 
L 11051c,4 hit 
S 1500a4,4 hit 
S 150124,4 hit 
S 1501a4,4 hit 
S 150224,4 hit 
S 1502a4,4 hit 
S 150324,4 hit 
S 1503a4,4 hit 
S 150424,4 hit 
L 110580,4 miss index:<12> eviction 
L 110584,4 hit 
L 110588,4 hit 
L 11058c,4 hit 
L 110590,4 hit 
L 110594,4 hit 
L 110598,4 hit 
L 11059c,4 hit 
S 1500a8,4 hit 
S 150128,4 hit 
S 1501a8,4 hit 
S 150228,4 hit 
S 1502a8,4 hit 
S 150328,4 hit 
S 1503a8,4 hit 
S 150428,4 hit 
L 110600,4 miss index:<16> eviction 
L 110604,4 hit 
L 110608,4 hit 
L 11060c,4 hit 
L 110610,4 hit 
L 110614,4 hit 
L 110618,4 hit 
L 11061c,4 hit 
S 1500ac,4 hit 
S 15012c,4 hit 
S 1501ac,4 hit 
S 15022c,4 hit 
S 1502ac,4 hit 
S 15032c,4 hit 
S 1503ac,4 hit 
S 15042c,4 hit 
L 110680,4 miss index:<20> eviction 
L 110684,4 hit 
L 110688,4 hit 
L 11068c,4 hit 
L 110690,4 hit 
L 110694,4 hit 
L 110698,4 hit 
L 11069c,4 hit 
S 1500b0,4 hit 
S 150130,4 hit 
S 1501b0,4 hit 
S 150230,4 hit 
S 1502b0,4 hit 
S 150330,4 hit 
S 1503b0,4 hit 
S 150430,4 hit 
L 110700,4 miss index:<24> eviction 
L 110704,4 hit 
L 110708,4 hit 
L 11070c,4 hit 
L 110710,4 hit 
L 110714,4 hit 
L 110718,4 hit 
L 11071c,4 hit 
S 1500b4,4 hit 
S 150134,4 hit 
S 1501b4,4 hit 
S 150234,4 hit 
S 1502b4,4 hit 
S 150334,4 hit 
S 1503b4,4 hit 
S 150434,4 hit 
L 110780,4 miss index:<28> eviction 
L 110784,4 hit 
L 110788,4 hit 
L 11078c,4 hit 
L 110790,4 hit 
L 110794,4 hit 
L 110798,4 hit 
L 11079c,4 hit 
S 1500b8,4 hit 
S 150138,4 hit 
S 1501b8,4 hit 
S 150238,4 hit 
S 1502b8,4 hit 
S 150338,4 hit 
S 1503b8,4 hit 
S 150438,4 hit 
L 110800,4 miss index:<0> eviction 
L 110804,4 hit 
L 110808,4 hit 
L 11080c,4 hit 
L 110810,4 hit 
L 110814,4 hit 
L 110818,4 hit 
L 11081c,4 hit 
S 1500bc,4 hit 
S 15013c,4 hit 
S 1501bc,4 hit 
S 15023c,4 hit 
S 1502bc,4 hit 
S 15033c,4 hit 
S 1503bc,4 hit 
S 15043c,4 hit 
L 1104a0,4 miss index:<5> eviction 
L 1104a4,4 hit 
L 1104a8,4 hit 
L 1104ac,4 hit 
L 1104b0,4 hit 
L 1104b4,4 hit 
L 1104b8,4 hit 
L 1104bc,4 hit 
S 1504a0,4 miss index:<5> eviction 
S 150520,4 miss index:<9> eviction 
S 1505a0,4 miss index:<13> eviction 
S 150620,4 miss index:<17> eviction 
S 1506a0,4 miss index:<21> eviction 
S 150720,4 miss index:<25> eviction 
S 1507a0,4 miss index:<29> eviction 
S 150820,4 miss index:<1> eviction 
L 110520,4 miss index:<9> eviction 
L 110524,4 hit 
L 110528,4 hit 
L 11052c,4 hit 
L 110530,4 hit 
L 110534,4 hit 
L 110538,4 hit 
L 11053c,4 hit 
S 1504a4,4 hit 
S 150524,4 miss index:<9> eviction 
S 1505a4,4 hit 
S 150624,4 hit 
S 1506a4,4 hit 
S 150724,4 hit 
S 1507a4,4 hit 
S 150824,4 hit 
L 1105a0,4 miss index:<13> eviction 
L 1105a4,4 hit 
L 1105a8,4 hit 
L 1105ac,4 hit 
L 1105b0,4 hit 
L 1105b4,4 hit 
L 1105b8,4 hit 
L 1105bc,4 hit 
S 1504a8,4 hit 
S 150528,4 hit 
S 1505a8,4 miss index:<13> eviction 
S 150628,4 hit 
S 1506a8,4 hit 
S 150728,4 hit 
S 1507a8,4 hit 
S 150828,4 hit 
L 110620,4 miss index:<17> eviction 
L 110624,4 hit 
L 110628,4 hit 
L 11062c,4 hit 
L 110630,4 hit 
L 110634,4 hit 
L 110638,4 hit 
L 11063c,4 hit 
S 1504ac,4 hit 
S 15052c,4 hit 
S 1505ac,4 hit 
S 15062c,4 miss index:<17> eviction 
S 1506ac,4 hit 
S 15072c,4 hit 
S 1507ac,4 hit 
S 15082c,4 hit 
L 1106a0,4 miss index:<21> eviction 
L 1106a4,4 hit 
L 1106a8,4 hit 
L 1106ac,4 hit 
L 1106b0,4 hit 
L 1106b4,4 hit 
L 1106b8,4 hit 
L 1106bc,4 hit 
S 1504b0,4 hit 
S 150530,4 hit 
S 1505b0,4 hit 
S 150630,4 hit 
S 1506b0,4 miss index:<21> eviction 
S 150730,4 hit 
S 1507b0,4 hit 
S 150830,4 hit 
L 110720,4 miss index:<25> eviction 
L 110724,4 hit 
L 110728,4 hit 
L 11072c,4 hit 
L 110730,4 hit 
L 110734,4 hit 
L 110738,4 hit 
L 11073c,4 hit 
S 1504b4,4 hit 
S 150534,4 hit 
S 1505b4,4 hit 
S 150634,4 hit 
S 1506b4,4 hit 
S 150734,4 miss index:<25> eviction 
S 1507b4,4 hit 
S 150834,4 hit 
L 1107a0,4 miss index:<29> eviction 
L 1107a4,4 hit 
L 1107a8,4 hit 
L 1107ac,4 hit 
L 1107b0,4 hit 
L 1107b4,4 hit 
L 1107b8,4 hit 
L 1107bc,4 hit 
S 1504b8,4 hit 
S 150538,4 hit 
S 1505b8,4 hit 
S 150638,4 hit 
S 1506b8,4 hit 
S 150738,4 hit 
S 1507b8,4 miss index:<29> eviction 
S 150838,4 hit 
L 110820,4 miss index:<1> eviction 
L 110824,4 hit 
L 110828,4 hit 
L 11082c,4 hit 
L 110830,4 hit 
L 110834,4 hit 
L 110838,4 hit 
L 11083c,4 hit 
S 1504bc,4 hit 
S 15053c,4 hit 
S 1505bc,4 hit 
S 15063c,4 hit 
S 1506bc,4 hit 
S 15073c,4 hit 
S 1507bc,4 hit 
S 15083c,4 miss index:<1> eviction 
L 1104c0,4 miss index:<6> eviction 
L 1104c4,4 hit 
L 1104c8,4 hit 
L 1104cc,4 hit 
L 1104d0,4 hit 
L 1104d4,4 hit 
L 1104d8,4 hit 
L 1104dc,4 hit 
S 1508a0,4 miss index:<5> eviction 
S 150920,4 miss index:<9> eviction 
S 1509a0,4 miss index:<13> eviction 
S 150a20,4 miss index:<17> eviction 
S 150aa0,4 miss index:<21> eviction 
S 150b20,4 miss index:<25> eviction 
S 150ba0,4 miss index:<29> eviction 
S 150c20,4 miss index:<1> eviction 
L 110540,4 miss index:<10> eviction 
L 110544,4 hit 
L 110548,4 hit 
L 11054c,4 hit 
L 110550,4 hit 
L 110554,4 hit 
L 110558,4 hit 
L 11055c,4 hit 
S 1508a4,4 hit 
S 150924,4 hit 
S 1509a4,4 hit 
S 150a24,4 hit 
S 150aa4,4 hit 
S 150b24,4 hit 
S 150ba4,4 hit 
S 150c24,4 hit 
L 1105c0,4 miss index:<14> eviction 
L 1105c4,4 hit 
L 1105c8,4 hit 
L 1105cc,4 hit 
L 1105d0,4 hit 
L 1105d4,4 hit 
L 1105d8,4 hit 
L 1105dc,4 hit 
S 1508a8,4 hit 
S 150928,4 hit 
S 1509a8,4 hit 
S 150a28,4 hit 
S 150aa8,4 hit 
S 150b28,4 hit 
S 150ba8,4 hit 
S 150c28,4 hit 
L 110640,4 miss index:<18> eviction 
L 110644,4 hit 
L 110648,4 hit 
L 11064c,4 hit 
L 110650,4 hit 
L 110654,4 hit 
L 110658,4 hit 
L 11065c,4 hit 
S 1508ac,4 hit 
S 15092c,4 hit 
S 1509ac,4 hit 
S 150a2c,4 hit 
S 150aac,4 hit 
S 150b2c,4 hit 
S 150bac,4 hit 
S 150c2c,4 hit 
L 1106c0,4 miss index:<22> eviction 
L 1106c4,4 hit 
L 1106c8,4 hit 
L 1106cc,4 hit 
L 1106d0,4 hit 
L 1106d4,4 hit 
L 1106d8,4 hit 
L 1106dc,4 hit 
S 1508b0,4 hit 
S 150930,4 hit 
S 1509b0,4 hit 
S 150a30,4 hit 
S 150ab0,4 hit 
S 150b30,4 hit 
S 150bb0,4 hit 
S 150c30,4 hit 
L 110740,4 miss index:<26> eviction 
L 110744,4 hit 
L 110748,4 hit 
L 11074c,4 hit 
L 110750,4 hit 
L 110754,4 hit 
L 110758,4 hit 
L 11075c,4 hit 
S 1508b4,4 hit 
S 150934,4 hit 
S 1509b4,4 hit 
S 150a34,4 hit 
S 150ab4,4 hit 
S 150b34,4 hit 
S 150bb4,4 hit 
S 150c34,4 hit 
L 1107c0,4 miss index:<30> eviction 
L 1107c4,4 hit 
L 1107c8,4 hit 
L 1107cc,4 hit 
L 1107d0,4 hit 
L 1107d4,4 hit 
L 1107d8,4 hit 
L 1107dc,4 hit 
S 1508b8,4 hit 
S 150938,4 hit 
S 1509b8,4 hit 
S 150a38,4 hit 
S 150ab8,4 hit 
S 150b38,4 hit 
S 150bb8,4 hit 
S 150c38,4 hit 
L 110840,4 miss index:<2> eviction 
L 110844,4 hit 
L 110848,4 hit 
L 11084c,4 hit 
L 110850,4 hit 
L 110854,4 hit 
L 110858,4 hit 
L 11085c,4 hit 
S 1508bc,4 hit 
S 15093c,4 hit 
S 1509bc,4 hit 
S 150a3c,4 hit 
S 150abc,4 hit 
S 150b3c,4 hit 
S 150bbc,4 hit 
S 150c3c,4 hit 
L 1104e0,4 miss index:<7> eviction 
L 1104e4,4 hit 
L 1104e8,4 hit 
L 1104ec,4 hit 
L 1104f0,4 hit 
L 1104f4,4 hit 
L 1104f8,4 hit 
L 1104fc,4 hit 
S 150ca0,4 miss index:<5> eviction 
S 150d20,4 miss index:<9> eviction 
S 150da0,4 miss index:<13> eviction 
S 150e20,4 miss index:<17> eviction 
S 150ea0,4 miss index:<21> eviction 
S 150f20,4 miss index:<25> eviction 
S 150fa0,4 miss index:<29> eviction 
S 151020,4 miss index:<1> eviction 
L 110560,4 miss index:<11> eviction 
L 110564,4 hit 
L 110568,4 hit 
L 11056c,4 hit 
L 110570,4 hit 
L 110574,4 hit 
L 110578,4 hit 
L 11057c,4 hit 
S 150ca4,4 hit 
S 150d24,4 hit 
S 150da4,4 hit 
S 150e24,4 hit 
S 150ea4,4 hit 
S 150f24,4 hit 
S 150fa4,4 hit 
S 151024,4 hit 
L 1105e0,4 miss index:<15> eviction 
L 1105e4,4 hit 
L 1105e8,4 hit 
L 1105ec,4 hit 
L 1105f0,4 hit 
L 1105f4,4 hit 
L 1105f8,4 hit 
L 1105fc,4 hit 
S 150ca8,4 hit 
S 150d28,4 hit 
S 150da8,4 hit 
S 150e28,4 hit 
S 150ea8,4 hit 
S 150f28,4 hit 
S 150fa8,4 hit 
S 151028,4 hit 
L 110660,4 miss index:<19> eviction 
L 110664,4 hit 
L 110668,4 hit 
L 11066c,4 hit 
L 110670,4 hit 
L 110674,4 hit 
L 110678,4 hit 
L 11067c,4 hit 
S 150cac,4 hit 
S 150d2c,4 hit 
S 150dac,4 hit 
S 150e2c,4 hit 
S 150eac,4 hit 
S 150f2c,4 hit 
S 150fac,4 hit 
S 15102c,4 hit 
L 1106e0,4 miss index:<23> eviction 
L 1106e4,4 hit 
L 1106e8,4 hit 
L 1106ec,4 hit 
L 1106f0,4 hit 
L 1106f4,4 hit 
L 1106f8,4 hit 
L 1106fc,4 hit 
S 150cb0,4 hit 
S 150d30,4 hit 
S 150db0,4 hit 
S 150e30,4 hit 
S 150eb0,4 hit 
S 150f30,4 hit 
S 150fb0,4 hit 
S 151030,4 hit 
L 110760,4 miss index:<27> eviction 
L 110764,4 hit 
L 110768,4 hit 
L 11076c,4 hit 
L 110770,4 hit 
L 110774,4 hit 
L 110778,4 hit 
L 11077c,4 hit 
S 150cb4,4 hit 
S 150d34,4 hit 
S 150db4,4 hit 
S 150e34,4 hit 
S 150eb4,4 hit 
S 150f34,4 hit 
S 150fb4,4 hit 
S 151034,4 hit 
L 1107e0,4 miss index:<31> eviction 
L 1107e4,4 hit 
L 1107e8,4 hit 
L 1107ec,4 hit 
L 1107f0,4 hit 
L 1107f4,4 hit 
L 1107f8,4 hit 
L 1107fc,4 hit 
S 150cb8,4 hit 
S 150d38,4 hit 
S 150db8,4 hit 
S 150e38,4 hit 
S 150eb8,4 hit 
S 150f38,4 hit 
S 150fb8,4 hit 
S 151038,4 hit 
L 110860,4 miss index:<3> eviction 
L 110864,4 hit 
L 110868,4 hit 
L 11086c,4 hit 
L 110870,4 hit 
L 110874,4 hit 
L 110878,4 hit 
L 11087c,4 hit 
S 150cbc,4 hit 
S 150d3c,4 hit 
S 150dbc,4 hit 
S 150e3c,4 hit 
S 150ebc,4 hit 
S 150f3c,4 hit 
S 150fbc,4 hit 
S 15103c,4 hit 
L 110880,4 miss index:<4> eviction 
L 110884,4 hit 
L 110888,4 hit 
L 11088c,4 hit 
L 110890,4 hit 
L 110894,4 hit 
L 110898,4 hit 
L 11089c,4 hit 
S 1500c0,4 miss index:<6> eviction 
S 150140,4 miss index:<10> eviction 
S 1501c0,4 miss index:<14> eviction 
S 150240,4 miss index:<18> eviction 
S 1502c0,4 miss index:<22> eviction 
S 150340,4 miss index:<26> eviction 
S 1503c0,4 miss index:<30> eviction 
S 150440,4 miss index:<2> eviction 
L 110900,4 miss index:<8> eviction 
L 110904,4 hit 
L 110908,4 hit 
L 11090c,4 hit 
L 110910,4 hit 
L 110914,4 hit 
L 110918,4 hit 
L 11091c,4 hit 
S 1500c4,4 hit 
S 150144,4 hit 
S 1501c4,4 hit 
S 150244,4 hit 
S 1502c4,4 hit 
S 150344,4 hit 
S 1503c4,4 hit 
S 150444,4 hit 
L 110980,4 miss index:<12> eviction 
L 110984,4 hit 
L 110988,4 hit 
L 11098c,4 hit 
L 110990,4 hit 
L 110994,4 hit 
L 110998,4 hit 
L 11099c,4 hit 
S 1500c8,4 hit 
S 150148,4 hit 
S 1501c8,4 hit 
S 150248,4 hit 
